GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.impl,SelfDescriptionPersistenceAdapter,3,0,0,0,1,0,1,0,1,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.impl,ResourcePersistenceAdapter,3,0,0,0,1,0,1,0,1,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,SelfDescriptionPersistenceAndIndexing.new TimerTask() {...},10,0,0,0,3,0,2,0,2,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,SelfDescriptionPersistenceAndIndexing,863,0,92,0,159,0,60,0,14,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,ConnectorUnavailableValidationStrategy,77,0,8,0,21,0,6,0,2,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,ResourcePersistenceAndIndexing,529,0,32,0,111,0,28,0,12,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,RegistrationHandler,219,0,22,0,46,0,14,0,3,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,ResourceMessageHandler,225,0,26,0,43,0,16,0,3,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,ResourceModelCreator,40,0,6,0,8,0,7,0,4,0
open-broker-common,de.fraunhofer.iais.eis.ids.broker.core.common.persistence,ConnectorModelCreator,22,0,6,0,4,0,5,0,2,0
